Aug| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
 14|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 13 |122 |  2 |  6 |205 | 62 | 13 | 94 |101 |??? | 73 | 95 |
 15|161 |??? |180 | 27 | 60 |224 |135 | 84 |127 |217 |287 |  2 |  1 |??? |117 |  1 |  1 |??? |  2 | 26 |  1 |??? | 15 |174 |
 16|203 |  3 | 36 |110 |288 | 95 | 48 |219 | 11 |263 |215 |255 |423 |417 |184 | 69 |414 |341 |155 | 71 | 24 | 95 | 26 |  3 |
 17|  2 | 10 |  1 |  3 |??? |  3 | 97 |457 | 36 |  2 |??? |??? |??? |??? |??? | 56 | 92 | 92 |169 | 29 | 39 | 92 |??? |132 |
 18| 88 |306 | 42 |  1 |181 |367 |146 |296 |  9 |??? |??? |  1 |??? |  1 |??? |  2 |??? |  1 | 15 | 17 |  4 |??? |  1 | 28 |
 19|??? |  5 | 27 | 84 |??? |??? |105 |101 |  3 |??? |??? | 64 | 10 |  2 |  2 |  4 |  2 |??? |  1 |??? |  1 |??? |  3 |  1 |
 20| 47 |??? |  2 |??? |  1 |??? | 68 | 55 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 21|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 42 | 60 | 46 |??? | 86 | 94 | 56 |248 |249 |??? | 11 | 95 |
 24| 82 |245 |173 | 97 |??? | 29 | 31 |118 | 43 | 92 | 38 | 96 | 71 | 83 |206 |237 | 68 |155 |281 | 27 |275 |441 | 88 |112 |
 25|  3 | 15 |  1 |  3 |??? |  2 |234 |  1 | 37 |155 |162 | 10 |??? |  2 |??? |  2 | 10 |??? |  1 | 61 |  1 |??? |  1 |  1 |
 26|  2 |  2 |??? |231 |165 |  2 |  2 |  2 |  2 |  3 |  2 |  4 |??? |??? |??? |  1 |??? |  4 |??? |??? |  1 |??? |  1 |  4 |
 27| 13 |  4 | 34 |144 |100 |  5 |  4 |  8 |  7 | 11 |  2 |267 |316 |147 |  1 |  3 |235 |315 |272 |168 |  1 |??? |  1 | 16 |
 28|  4 | 60 |142 |231 | 16 |??? | 51 | 67 |  2 |??? |??? | 81 |??? |??? |??? | 12 |  2 | 11 |??? | 27 | 16 |  9 |??? |253 |
 29|234 |103 |443 |242 | 33 |  1 |??? | 32 |157 |  1 |??? |  1 | 19 |  6 |??? |  1 |??? |  3 |190 |541 |168 | 39 |  1 |  2 |
 30|??? |  4 |??? |  8 |??? |  1 |??? |  1 |??? |  1 |  1 |  1 |??? |??? | 15 | 34 |  2 |??? |??? |285 |192 | 60 | 82 |432 |
 31| 51 | 81 |159 |181 |214 |234 |178 |123 |  7 |??? |  3 |??? |??? |??? |117 |250 |400 |306 |165 |138 |??? |??? | 24 |  1 |

