Nov| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
 12| 14 | 12 | 14 | 10 |  5 |  3 | 11 |  1 |  8 |  7 |  9 |??? |??? |??? |  7 |  4 |  9 | 13 | 11 | 12 | 10 | 13 |??? |??? |
 13|??? |??? |  8 |  9 | 16 | 11 |  6 |  6 |  3 | 10 | 20 | 23 |  8 | 14 | 17 |  9 |  7 | 14 | 14 | 15 | 15 |??? |??? |??? |
 14|??? |??? |  7 | 13 | 10 | 13 | 10 | 12 |  8 | 11 |??? |??? |??? |??? |??? | 12 | 12 | 22 | 12 | 17 |??? |??? |??? |??? |
 15|??? |??? | 16 |  9 | 13 | 13 | 15 | 22 | 22 | 16 | 16 | 24 |??? |??? |??? |??? |??? |??? | 25 | 27 | 11 |??? |??? |??? |
 16|??? | 21 |  6 |  5 | 17 | 16 | 17 |  8 | 24 | 23 | 16 |??? |??? |??? |??? |??? |??? |??? | 21 | 16 | 10 |??? |??? |??? |
 17|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 18|??? |??? |??? |??? | 20 | 19 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 21 | 14 | 16 | 11 |??? |??? |??? |??? |
 19|??? |??? | 10 |  5 |  7 | 10 | 14 |  9 | 12 | 13 | 16 | 22 | 16 | 21 | 23 | 33 | 26 | 21 | 12 | 13 | 11 | 10 | 13 |  7 |
 20| 10 | 11 |  6 | 16 |  7 |  8 | 16 |  9 |  9 | 11 |  9 | 16 | 15 | 17 |  6 | 18 |  5 |  4 | 10 | 11 |  1 | 18 | 20 |  9 |
 21|  9 | 14 | 13 |  9 |  5 |  5 | 16 | 16 | 11 | 10 |??? |??? |??? |??? |??? |??? |??? | 12 | 20 |  8 | 19 |  6 |??? |??? |
 22|??? |??? |??? |??? |??? | 11 |  5 | 20 | 17 | 13 | 16 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 22 | 17 | 11 | 17 | 23 | 12 | 20 | 15 |
 24| 15 | 21 | 10 |  3 |  7 |  8 | 10 |  5 |  4 |  8 | 10 | 19 |  8 | 23 | 14 |  7 | 13 | 13 | 12 | 10 | 13 |  6 | 11 | 15 |
 25| 12 | 18 |  3 |  5 |  3 |  9 |  2 |  6 |  9 |  9 | 19 | 14 | 23 | 16 | 22 | 22 | 20 | 12 | 18 | 14 | 18 | 20 |  9 | 23 |
 26|??? |??? | 12 |  8 |  9 | 18 | 17 | 10 |??? |??? |??? |??? |??? |??? |??? | 20 | 16 | 12 | 14 | 11 |  8 |??? |??? |??? |
 27|??? |??? |??? | 21 | 14 |  6 | 12 | 10 | 13 | 18 |??? |??? |??? |??? |??? | 16 |??? |??? | 13 |  4 | 10 | 13 |??? |??? |
 28| 20 | 20 |  8 |  4 |  9 | 10 | 13 |  6 |  5 | 11 |  7 | 22 | 27 | 10 | 24 | 18 |  7 | 13 | 19 | 12 | 11 |  5 | 15 | 13 |
 29| 18 | 13 |  2 |  9 |  5 |  8 |  4 |  6 |  5 |  8 | 13 | 17 |  9 | 13 | 24 | 18 | 21 |  7 |  7 |  8 |  5 | 18 |??? |??? |
 30| 10 | 11 | 14 |  8 | 17 | 16 | 10 | 17 | 11 | 12 | 15 | 24 |??? |??? |??? | 16 | 15 |  7 |  4 | 13 |  7 |  6 | 23 |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

