jul| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
 17|??? |??? |??? | 1  | 3  | 10 | 14 |??? |??? |??? | 1  |??? |??? | 1  |??? |??? |??? |??? |??? |??? | 1  |??? | 1  |??? |
 18| 1  | 1  |??? | 1  | 1  | 2  | 6  | 3  |??? |??? | 3  | 1  | 1  |??? |??? |??? |??? |??? | 1  |??? |??? | 1  |??? | 1  |
 19| 1  |??? |??? |??? | 1  |??? |??? |??? |??? |??? |??? |??? |??? | 1  |??? |??? | 1  |??? |??? |??? | 1  | 1  |??? |??? |
 20| 1  | 2  | 2  |??? |??? |??? |??? |??? |??? |??? | 1  |??? | 1  |??? |??? | 2  |??? |??? | 1  |??? |??? |??? |??? |??? |
 21| 1  |??? |??? |??? |??? |??? | 2  |??? |??? | 6  | 22 | 64 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 22|??? |??? |??? | 3  | 1  | 2  | 1  |??? | 1  | 1  |??? |??? | 1  | 1  |??? |??? | 3  | 1  | 2  |??? |??? |??? |??? |??? |
 23|??? |??? |??? |??? | 1  |??? | 4  | 4  | 4  | 2  |??? | 3  | 3  | 2  | 3  | 1  | 5  |??? |??? |??? |??? |??? |??? | 1  |
 24|??? |??? |??? |??? | 1  |??? |??? | 1  | 2  | 10 | 65 |122 | 98 | 28 |??? | 1  | 1  | 2  |??? | 1  |??? | 1  |??? | 2  |
 25|??? |??? |??? | 1  |??? | 1  | 3  | 3  | 2  |??? |??? | 1  | 3  | 1  |??? | 1  |??? | 1  |??? | 1  |??? | 1  | 1  |??? |
 26|??? |??? |??? |??? |??? | 3  | 11 | 2  | 1  | 1  |??? | 4  | 2  |??? | 1  | 1  | 1  |??? | 1  | 1  | 2  |??? |??? |??? |
 27| 68 | 1  |??? | 2  | 1  | 1  | 3  | 2  |??? | 2  | 2  | 3  | 2  | 3  | 3  |??? | 1  |??? |??? | 2  |??? |??? |??? |??? |
 28|??? | 1  |??? |??? |??? | 4  | 3  | 1  | 1  | 3  | 2  | 5  | 1  | 1  | 2  | 1  | 3  |??? | 2  | 1  | 1  |??? |??? | 2  |
 29|??? |??? |??? | 2  | 2  | 4  | 6  | 6  | 4  | 2  | 8  | 1  | 3  |??? | 2  | 1  | 2  | 4  | 7  | 16 | 19 | 1  | 6  | 1  |
 30|??? |??? | 1  |??? | 2  | 3  | 2  | 2  |??? | 2  | 2  |??? | 2  | 42 | 8  |??? |??? | 2  | 1  | 1  |??? | 1  | 1  | 2  |
 31|??? | 1  |??? | 1  |??? | 2  | 2  | 2  | 2  | 2  | 2  |??? | 3  | 3  |??? | 1  | 1  |??? | 2  | 2  | 2  | 2  | 3  | 1  |
