Jan| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
 15|  1 |??? |??? |  3 |  1 |  2 |  6 |  4 |  4 |  3 | 12 |  1 |  2 |  2 |  3 |??? |??? |??? |  1 |??? |  1 |  2 |  1 |??? |
 16|??? |??? |??? |  1 |  7 |  4 |  4 |  4 |  2 |  1 |  1 |  3 |??? |  1 |  1 |  4 |  1 |??? |  1 |  2 |  2 | 10 |  3 |??? |
 17|??? |??? |??? |  3 |  2 |  6 |  6 |  6 |  7 | 17 |  4 |  9 |  7 |  4 |  1 |??? |??? |??? |  1 |  1 |  2 |  2 |  3 |??? |
 18|??? |??? |??? |  1 |  1 |  3 | 11 |  5 |  2 |  4 |  2 |  5 |  2 |  2 |  2 |??? |  1 |??? |??? |??? |  1 |  1 |  2 |??? |
 19|??? |??? |??? |  3 | 10 |  4 | 17 | 10 |  3 |  5 |  8 |  3 |  3 |  1 |  2 |  4 |  1 |  3 |  2 |  1 |  4 |  7 |  3 |  1 |
 20|  1 |??? |??? |  1 |  2 | 11 |  9 | 11 |  2 |  4 |  2 |  6 |  5 |  6 |  1 |  1 |  1 |  1 |??? |??? |  1 |  4 |  5 |??? |
 21|??? |??? |??? |  2 |  3 | 11 |  3 |  5 |  3 |  1 |  2 |  8 |  3 |  2 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |  2 |  2 |  3 |  1 |  5 |  1 |  2 |  1 |  4 |  2 |  2 |??? |??? |??? |??? |??? |  2 |  2 |  1 |  5 |??? |
 31|??? |??? |??? |  4 |  5 |??? |  2 |  5 |??? |  3 |  4 |  2 |  1 |??? |??? |??? |??? |??? |??? |  2 |  1 |??? |  1 |??? |

