Feb| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
 14| 10 | 16 |??? |??? |??? | 12 |??? |  4 |  5 |??? |  8 | 11 |??? |??? |??? |  6 |  6 | 11 | 11 | 17 | 12 | 19 |  6 | 11 |
 15| 20 | 15 |??? |??? |??? |??? |??? |??? |??? |??? | 10 |  9 |  9 | 20 | 16 |  8 | 13 |  6 |  8 | 13 | 21 | 11 | 21 | 18 |
 16| 19 | 25 | 12 | 16 |??? |??? |??? |??? |??? |  3 |  7 | 10 | 14 | 11 |  9 | 13 |  9 | 18 | 10 | 16 | 16 | 19 | 15 | 13 |
 17| 19 | 15 | 18 |??? | 12 |  8 |  7 |  4 |  9 |  8 | 11 |  5 | 10 | 14 | 15 |  5 |  8 | 16 | 14 | 12 | 11 | 13 | 16 | 21 |
 18|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  9 |  7 |  9 |  5 |  9 | 15 | 15 |  9 | 18 | 18 | 18 | 18 |
 19|??? |??? | 22 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 10 |  9 | 16 | 14 | 12 | 16 | 34 | 19 | 24 |
 20| 28 |??? |??? |??? |??? |??? |??? |??? |??? |??? |  4 |  7 |  5 | 10 |  4 |??? |  9 | 12 | 13 | 10 | 15 | 16 | 16 | 17 |
 21| 21 | 12 | 16 | 15 |??? |??? |??? |??? |??? | 10 |  8 | 16 |  9 |  5 |??? |  8 | 10 |  9 | 19 | 11 | 15 | 19 | 19 | 25 |
 22| 14 | 13 | 19 |  8 |  7 | 10 |  9 |  4 |  3 |  5 |  6 |  6 |  8 | 12 |  8 |??? | 15 | 20 | 11 |  7 | 11 | 24 | 26 | 19 |
 23| 21 | 15 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 10 | 13 | 11 |  7 | 12 |  9 | 13 | 12 | 16 | 16 | 14 | 17 |
 24| 21 | 15 | 14 |??? |??? |  4 |  7 |  6 |  3 |  6 |  6 | 13 |??? |??? |??? | 15 | 11 | 17 | 17 |  9 | 11 | 15 | 16 | 15 |
 25| 16 | 20 |??? |??? |??? |??? |??? |??? |??? | 12 |  7 |  5 |??? |??? |??? |??? | 10 |  9 |  7 | 16 | 11 | 17 | 12 | 12 |
 26| 10 |  9 | 15 | 13 | 14 | 10 |  4 |  5 |  8 |  4 | 14 |  4 | 12 |  7 | 10 |  9 | 13 | 10 |  9 | 11 | 13 | 15 | 15 | 21 |
 27| 11 | 12 | 10 |  8 | 16 |  6 |  9 |  8 |??? |??? |  3 | 13 | 13 | 12 | 15 |  7 | 13 |  9 |  8 | 18 | 18 | 11 | 21 | 22 |
 28| 18 | 10 | 12 | 14 |  6 |  9 |  4 |  5 |  6 |  5 |  9 |  7 | 14 | 11 |  9 | 14 | 15 | 11 | 16 | 15 | 12 | 14 | 30 | 18 |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

